,Calls,Calls,Rating,Rating,Cost,Cost,Purchases,Purchases,Discount,Discount,Weight (gram),Weight (gram),Late,Late,Warehouse_A,Warehouse_A,Warehouse_B,Warehouse_B,Warehouse_C,Warehouse_C,Warehouse_D,Warehouse_D,Warehouse_F,Warehouse_F,Shipment_Flight,Shipment_Flight,Shipment_Road,Shipment_Road,Shipment_Ship,Shipment_Ship,Reorder_purchases,Reorder_purchases,Importance_low,Importance_low,Importance_medium,Importance_medium,Importance_high,Importance_high
,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4.076570218772054,4.0,3.0299929428369796,3.0,210.1030345800988,214.0,3.427664079040226,3.0,15.390966831333804,8.0,3345.0116443189836,3442.0,0.8246294989414256,1.0,0.12808750882145378,0.0,0.11856033874382499,0.0,0.12350035285815103,0.0,0.0,0.0,0.6298517995765702,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.751940719830628,1.0,0.781227946365561,1.0,0.21877205363443897,0.0,0.0,0.0
1,4.034109816971714,4.0,3.0066555740432612,3.0,211.88602329450916,219.0,3.5183028286189684,3.0,12.277870216306157,7.0,3627.3086522462563,4142.0,0.5906821963394343,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7820299500831946,1.0,0.4825291181364393,0.0,0.4276206322795341,0.0,0.08985024958402663,0.0
2,4.095307490527543,4.0,2.988050131157097,3.0,210.30049548236667,216.0,3.4680851063829787,3.0,12.424074613815215,7.0,3644.245409501603,4182.0,0.5899154765374527,1.0,0.16729816380064122,0.0,0.1681725444476829,0.0,0.16642378315359954,0.0,0.16758962401632177,0.0,0.33051588458175457,0.0,0.503643252696007,1.0,0.496356747303993,0.0,0.0,0.0,0.763042844651705,1.0,0.48440687846109004,0.0,0.4278635966190615,0.0,0.08772952491984844,0.0
3,4.035905511811023,4.0,2.9474015748031497,3.0,210.80850393700788,214.0,3.4696062992125984,3.0,10.181732283464568,6.0,3925.3574803149604,4439.0,0.3814173228346457,0.0,0.26456692913385826,0.0,0.27244094488188975,0.0,0.2677165354330709,0.0,0.0,0.0,0.1952755905511811,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7568503937007874,1.0,0.2258267716535433,0.0,0.6251968503937008,1.0,0.1489763779527559,0.0
