cluster,Calls,Rating,Cost,Purchases,Discount,Weight (gram),Late,Warehouse_A,Warehouse_B,Warehouse_C,Warehouse_D,Warehouse_F,Shipment_Flight,Shipment_Road,Shipment_Ship,Reorder_purchases,Importance_low,Importance_medium,Importance_high
0,0.0,0.19724770642201836,0.0,0.0,0.06351446718419196,0.0,0.8246294989414256,0.12808750882145378,0.11856033874382499,0.12350035285815103,0.0,0.6298517995765702,0.0,0.0,1.0,0.751940719830628,0.781227946365561,0.21877205363443897,0.0
1,0.0,0.2021630615640599,0.0,0.0,0.08319467554076539,0.0,0.5906821963394343,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7820299500831946,0.4825291181364393,0.4276206322795341,0.08985024958402663
2,0.0,0.2057709122704751,0.0,0.0,0.07403089478286214,0.0,0.5899154765374527,0.16729816380064122,0.1681725444476829,0.16642378315359954,0.16758962401632177,0.33051588458175457,0.503643252696007,0.496356747303993,0.0,0.763042844651705,0.48440687846109004,0.4278635966190615,0.08772952491984844
3,0.0,0.20566929133858267,0.0,0.0,0.08661417322834646,0.0,0.3814173228346457,0.26456692913385826,0.27244094488188975,0.2677165354330709,0.0,0.1952755905511811,0.0,0.0,1.0,0.7568503937007874,0.2258267716535433,0.6251968503937008,0.1489763779527559
